SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;ActualPairs;CalcPairs;;SOUHRN V1;;;
173;3P70000101;43;43;3;82;0I0H0I;221;86;;0K1D0O2A0I0H0I652E;0K1D0O2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
174;3V10000101;43;43;3;82;0I0H0I;221;86;;0K1J0I2A0I0H0I652E;0K1J0I2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
175;EXCTJ00101;143;43;5;24;0I0H0I;219;26;0;121L101H170O0I0H0I630Q0;121L101H170O0I0H0I630Q0;OK;;;;23;23;11;11;;;;;
176;VAONJ00101;143;43;5;24;0I0H0I;219;26;0;1J0Y1C1B170O0I0H0I630Q0;1J0Y1C1B170O0I0H0I630Q0;OK;;;;23;23;11;11;;;;;
177;X200000101;43;43;2;33;0I0H0I;222;38;0;1L0J0X0I0H0I66120;1L0J0X0I0H0I66120;OK;;;;17;17;8;8;;;;;
178;1GC0000101;44;44;3;83;0I0I0H;221;87;;0I14102B0I0I0H652F;0I14102B0I0I0H652F;OK;;;;18;18;9;9;;;;;
179;1Y10000101;44;44;3;83;0I0I0H;221;87;;0I1M0I2B0I0I0H652F;0I1M0I2B0I0I0H652F;OK;;;;18;18;9;9;;;;;
180;2P90000101;44;44;3;83;0I0I0H;221;87;;0J1D0Q2B0I0I0H652F;0J1D0Q2B0I0I0H652F;OK;;;;18;18;9;9;;;;;
181;S9WRJ00101;144;44;5;25;0I0I0H;219;27;0;1G0Q1K1F170P0I0I0H630R0;1G0Q1K1F170P0I0I0H630R0;OK;;;;23;23;11;11;;;;;
182;Y200000101;44;44;2;34;0I0I0H;222;39;0;1M0J0Y0I0I0H66130;1M0J0Y0I0I0H66130;OK;;;;17;17;8;8;;;;;
183;1S80000101;45;45;3;84;0I0H0I;221;88;;0I1G0P2C0I0H0I652G;0I1G0P2C0I0H0I652G;OK;;;;18;18;9;9;;;;;
184;1T70000101;45;45;3;84;0I0H0I;221;88;;0I1H0O2C0I0H0I652G;0I1H0O2C0I0H0I652G;OK;;;;18;18;9;9;;;;;
185;1X30000101;45;45;3;84;0I0H0I;221;88;;0I1L0K2C0I0H0I652G;0I1L0K2C0I0H0I652G;OK;;;;18;18;9;9;;;;;
186;1Y20000101;45;45;3;84;0I0H0I;221;88;;0I1M0J2C0I0H0I652G;0I1M0J2C0I0H0I652G;OK;;;;18;18;9;9;;;;;
187;2GC0000101;45;45;3;84;0I0H0I;221;88;;0J14102C0I0H0I652G;0J14102C0I0H0I652G;OK;;;;18;18;9;9;;;;;
188;2R80000101;45;45;3;84;0I0H0I;221;88;;0J1F0P2C0I0H0I652G;0J1F0P2C0I0H0I652G;OK;;;;18;18;9;9;;;;;
189;ONIPJ00101;145;45;5;26;0I0H0I;219;28;0;1C1B161D170Q0I0H0I630S0;1C1B161D170Q0I0H0I630S0;OK;;;;23;23;11;11;;;;;
190;Z200000101;45;45;2;35;0I0H0I;222;40;0;1N0J0Z0I0H0I66140;1N0J0Z0I0H0I66140;OK;;;;17;17;8;8;;;;;
191;1T80000101;46;46;3;85;0I0I0H;221;89;;0I1H0P2D0I0I0H652H;0I1H0P2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
192;1U70000101;46;46;3;85;0I0I0H;221;89;;0I1I0O2D0I0I0H652H;0I1I0O2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
193;1X40000101;46;46;3;85;0I0I0H;221;89;;0I1L0L2D0I0I0H652H;0I1L0L2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
194;2JA0000101;46;46;3;85;0I0I0H;221;89;;0J170Y2D0I0I0H652H;0J170Y2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
195;3R80000101;46;46;3;85;0I0I0H;221;89;;0K1F0P2D0I0I0H652H;0K1F0P2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
196;6V10000101;46;46;3;85;0I0I0H;221;89;;0N1J0I2D0I0I0H652H;0N1J0I2D0I0I0H652H;OK;;;;18;18;9;9;;;;;
197;QUDMJ00101;146;46;5;27;0I0I0H;219;29;0;1E1I111A170R0I0I0H630T0;1E1I111A170R0I0I0H630T0;OK;;;;23;23;11;11;;;;;
198;Z300000101;46;46;2;36;0I0I0H;222;41;0;1N0K100I0I0H66150;1N0K100I0I0H66150;OK;;;;17;17;8;8;;;;;
199;1JC0000101;47;47;3;86;0I0H0I;221;90;;0I17102E0I0H0I652I;0I17102E0I0H0I652I;OK;;;;18;18;9;9;;;;;
200;1LA0000101;47;47;3;86;0I0H0I;221;90;;0I190Y2E0I0H0I652I;0I190Y2E0I0H0I652I;OK;;;;18;18;9;9;;;;;
201;1U80000101;47;47;3;86;0I0H0I;221;90;;0I1I0P2E0I0H0I652I;0I1I0P2E0I0H0I652I;OK;;;;18;18;9;9;;;;;
202;1V70000101;47;47;3;86;0I0H0I;221;90;;0I1J0O2E0I0H0I652I;0I1J0O2E0I0H0I652I;OK;;;;18;18;9;9;;;;;
203;5X10000101;47;47;3;86;0I0H0I;221;90;;0M1L0I2E0I0H0I652I;0M1L0I2E0I0H0I652I;OK;;;;18;18;9;9;;;;;
204;NQFSJ00101;147;47;5;28;0I0H0I;219;30;0;1B1E131G170S0I0H0I630U0;1B1E131G170S0I0H0I630U0;OK;;;;23;23;11;11;;;;;
205;PHSMJ00101;147;47;5;28;0I0H0I;219;30;0;1D151G1A170S0I0H0I630U0;1D151G1A170S0I0H0I630U0;OK;;;;23;23;11;11;;;;;
206;VY3VJ00101;147;47;5;28;0I0H0I;219;30;0;1J1M0K1J170S0I0H0I630U0;1J1M0K1J170S0I0H0I630U0;OK;;;;23;23;11;11;;;;;
207;Z3YRJ00101;147;47;5;28;0I0H0I;219;30;0;1N0K1M1F170S0I0H0I630U0;1N0K1M1F170S0I0H0I630U0;OK;;;;23;23;11;11;;;;;
208;1KC0000101;48;48;3;87;0I0I0H;221;91;;0I18102F0I0I0H652J;0I18102F0I0I0H652J;OK;;;;18;18;9;9;;;;;
209;1MA0000101;48;48;3;87;0I0I0H;221;91;;0I1A0Y2F0I0I0H652J;0I1A0Y2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
210;1V80000101;48;48;3;87;0I0I0H;221;91;;0I1J0P2F0I0I0H652J;0I1J0P2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
211;1X60000101;48;48;3;87;0I0I0H;221;91;;0I1L0N2F0I0I0H652J;0I1L0N2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
212;1Y50000101;48;48;3;87;0I0I0H;221;91;;0I1M0M2F0I0I0H652J;0I1M0M2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
213;1Z40000101;48;48;3;87;0I0I0H;221;91;;0I1N0L2F0I0I0H652J;0I1N0L2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
214;2LA0000101;48;48;3;87;0I0I0H;221;91;;0J190Y2F0I0I0H652J;0J190Y2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
215;7W10000101;48;48;3;87;0I0I0H;221;91;;0O1K0I2F0I0I0H652J;0O1K0I2F0I0I0H652J;OK;;;;18;18;9;9;;;;;
216;NFUPJ00101;148;48;5;29;0I0I0H;219;31;0;1B131I1D170T0I0I0H630V0;1B131I1D170T0I0I0H630V0;OK;;;;23;23;11;11;;;;;
217;OPJPJ00101;148;48;5;29;0I0I0H;219;31;0;1C1D171D170T0I0I0H630V0;1C1D171D170T0I0I0H630V0;OK;;;;23;23;11;11;;;;;
218;OQFSJ00101;148;48;5;29;0I0I0H;219;31;0;1C1E131G170T0I0I0H630V0;1C1E131G170T0I0I0H630V0;OK;;;;23;23;11;11;;;;;
219;QTFNJ00101;148;48;5;29;0I0I0H;219;31;0;1E1H131B170T0I0I0H630V0;1E1H131B170T0I0I0H630V0;OK;;;;23;23;11;11;;;;;
220;V900000101;48;48;2;38;0I0I0H;222;43;0;1J0Q120I0I0H66170;1J0Q120I0I0H66170;OK;;;;17;17;8;8;;;;;
221;1LC0000101;49;49;3;88;0I0H0I;221;92;;0I19102G0I0H0I652K;0I19102G0I0H0I652K;OK;;;;18;18;9;9;;;;;
222;1MB0000101;49;49;3;88;0I0H0I;221;92;;0I1A0Z2G0I0H0I652K;0I1A0Z2G0I0H0I652K;OK;;;;18;18;9;9;;;;;
223;1W80000101;49;49;3;88;0I0H0I;221;92;;0I1K0P2G0I0H0I652K;0I1K0P2G0I0H0I652K;OK;;;;18;18;9;9;;;;;
224;2Z40000101;49;49;3;88;0I0H0I;221;92;;0J1N0L2G0I0H0I652K;0J1N0L2G0I0H0I652K;OK;;;;18;18;9;9;;;;;
225;DRQSJ00101;149;49;5;30;0I0H0I;219;32;0;111F1E1G170U0I0H0I630W0;111F1E1G170U0I0H0I630W0;OK;;;;23;23;11;11;;;;;
226;W900000101;49;49;2;39;0I0H0I;222;44;0;1K0Q130I0H0I66180;1K0Q130I0H0I66180;OK;;;;17;17;8;8;;;;;
227;1MC0000101;50;50;3;89;0I0I0H;221;93;;0I1A102H0I0I0H652L;0I1A102H0I0I0H652L;OK;;;;18;18;9;9;;;;;
228;1NB0000101;50;50;3;89;0I0I0H;221;93;;0I1B0Z2H0I0I0H652L;0I1B0Z2H0I0I0H652L;OK;;;;18;18;9;9;;;;;
229;1W90000101;50;50;3;89;0I0I0H;221;93;;0I1K0Q2H0I0I0H652L;0I1K0Q2H0I0I0H652L;OK;;;;18;18;9;9;;;;;
230;1X80000101;50;50;3;89;0I0I0H;221;93;;0I1L0P2H0I0I0H652L;0I1L0P2H0I0I0H652L;OK;;;;18;18;9;9;;;;;
231;2W80000101;50;50;3;89;0I0I0H;221;93;;0J1K0P2H0I0I0H652L;0J1K0P2H0I0I0H652L;OK;;;;18;18;9;9;;;;;
232;4U80000101;50;50;3;89;0I0I0H;221;93;;0L1I0P2H0I0I0H652L;0L1I0P2H0I0I0H652L;OK;;;;18;18;9;9;;;;;
233;KXKMJ00101;150;50;5;31;0I0I0H;219;33;0;181L181A170V0I0I0H630X0;181L181A170V0I0I0H630X0;OK;;;;23;23;11;11;;;;;
234;PQKOJ00101;150;50;5;31;0I0I0H;219;33;0;1D1E181C170V0I0I0H630X0;1D1E181C170V0I0I0H630X0;OK;;;;23;23;11;11;;;;;
235;ZQBNJ00101;150;50;5;31;0I0I0H;219;33;0;1N1E0Z1B170V0I0I0H630X0;1N1E0Z1B170V0I0I0H630X0;OK;;;;23;23;11;11;;;;;
236;1NC0000101;51;51;3;90;0I0H0I;221;94;;0I1B102I0I0H0I652M;0I1B102I0I0H0I652M;OK;;;;18;18;9;9;;;;;
237;1OB0000101;51;51;3;90;0I0H0I;221;94;;0I1C0Z2I0I0H0I652M;0I1C0Z2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
238;1PA0000101;51;51;3;90;0I0H0I;221;94;;0I1D0Y2I0I0H0I652M;0I1D0Y2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
239;1X90000101;51;51;3;90;0I0H0I;221;94;;0I1L0Q2I0I0H0I652M;0I1L0Q2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
240;1Y80000101;51;51;3;90;0I0H0I;221;94;;0I1M0P2I0I0H0I652M;0I1M0P2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
241;2NB0000101;51;51;3;90;0I0H0I;221;94;;0J1B0Z2I0I0H0I652M;0J1B0Z2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
242;2Z60000101;51;51;3;90;0I0H0I;221;94;;0J1N0N2I0I0H0I652M;0J1N0N2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
243;3W80000101;51;51;3;90;0I0H0I;221;94;;0K1K0P2I0I0H0I652M;0K1K0P2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
244;5U80000101;51;51;3;90;0I0H0I;221;94;;0M1I0P2I0I0H0I652M;0M1I0P2I0I0H0I652M;OK;;;;18;18;9;9;;;;;
245;CUQSJ00101;151;51;5;32;0I0H0I;219;34;0;101I1E1G170W0I0H0I630Y0;101I1E1G170W0I0H0I630Y0;OK;;;;23;23;11;11;;;;;
246;1QA0000101;52;52;3;91;0I0I0H;221;95;;0I1E0Y2J0I0I0H652N;0I1E0Y2J0I0I0H652N;OK;;;;18;18;9;9;;;;;
247;1Y90000101;52;52;3;91;0I0I0H;221;95;;0I1M0Q2J0I0I0H652N;0I1M0Q2J0I0I0H652N;OK;;;;18;18;9;9;;;;;
248;2Y80000101;52;52;3;91;0I0I0H;221;95;;0J1M0P2J0I0I0H652N;0J1M0P2J0I0I0H652N;OK;;;;18;18;9;9;;;;;
249;4W80000101;52;52;3;91;0I0I0H;221;95;;0L1K0P2J0I0I0H652N;0L1K0P2J0I0I0H652N;OK;;;;18;18;9;9;;;;;
250;6U80000101;52;52;3;91;0I0I0H;221;95;;0N1I0P2J0I0I0H652N;0N1I0P2J0I0I0H652N;OK;;;;18;18;9;9;;;;;
251;AUOXJ00101;152;52;5;33;0I0I0H;219;35;0;0Y1I1C1L170X0I0I0H630Z0;0Y1I1C1L170X0I0I0H630Z0;OK;;;;23;23;11;11;;;;;
252;BYPRJ00101;152;52;5;33;0I0I0H;219;35;0;0Z1M1D1F170X0I0I0H630Z0;0Z1M1D1F170X0I0I0H630Z0;OK;;;;23;23;11;11;;;;;
253;1RA0000101;53;53;3;92;0I0H0I;221;96;;0I1F0Y2K0I0H0I652O;0I1F0Y2K0I0H0I652O;OK;;;;18;18;9;9;;;;;
254;3Y80000101;53;53;3;92;0I0H0I;221;96;;0K1M0P2K0I0H0I652O;0K1M0P2K0I0H0I652O;OK;;;;18;18;9;9;;;;;
255;5W80000101;53;53;3;92;0I0H0I;221;96;;0M1K0P2K0I0H0I652O;0M1K0P2K0I0H0I652O;OK;;;;18;18;9;9;;;;;
256;AR10000101;53;53;3;92;0I0H0I;221;96;;0Y1F0I2K0I0H0I652O;0Y1F0I2K0I0H0I652O;OK;;;;18;18;9;9;;;;;
257;CE55200101;53;53;5;34;0I0H0I;219;36;0;10120M0M0J0Y0I0H0I63100;10120M0M0J0Y0I0H0I63100;OK;;;;23;23;11;11;;;;;
258;GQYMJ00101;153;53;5;34;0I0H0I;219;36;0;141E1M1A170Y0I0H0I63100;141E1M1A170Y0I0H0I63100;OK;;;;23;23;11;11;;;;;
259;TQFSJ00101;153;53;5;34;0I0H0I;219;36;0;1H1E131G170Y0I0H0I63100;1H1E131G170Y0I0H0I63100;OK;;;;23;23;11;11;;;;;
260;WFKVJ00101;153;53;5;34;0I0H0I;219;36;0;1K13181J170Y0I0H0I63100;1K13181J170Y0I0H0I63100;OK;;;;23;23;11;11;;;;;
261;ZEPOJ00101;153;53;5;34;0I0H0I;219;36;0;1N121D1C170Y0I0H0I63100;1N121D1C170Y0I0H0I63100;OK;;;;23;23;11;11;;;;;
262;6W80000101;54;54;3;93;0I0I0H;221;97;;0N1K0P2L0I0I0H652P;0N1K0P2L0I0I0H652P;OK;;;;18;18;9;9;;;;;
263;1TA0000101;55;55;3;94;0I0H0I;221;98;;0I1H0Y2M0I0H0I652Q;0I1H0Y2M0I0H0I652Q;OK;;;;18;18;9;9;;;;;
264;3E04J00101;55;55;5;36;0I0H0I;219;38;0;0K120H0L17100I0H0I63120;0K120H0L17100I0H0I63120;OK;;;;23;23;11;11;;;;;
265;7E0C700101;55;55;5;36;0I0H0I;219;38;0;0O120H100O100I0H0I63120;0O120H100O100I0H0I63120;OK;;;;23;23;11;11;;;;;
266;7W80000101;55;55;3;94;0I0H0I;221;98;;0O1K0P2M0I0H0I652Q;0O1K0P2M0I0H0I652Q;OK;;;;18;18;9;9;;;;;
267;DUOXJ00101;155;55;5;36;0I0H0I;219;38;0;111I1C1L17100I0H0I63120;111I1C1L17100I0H0I63120;OK;;;;23;23;11;11;;;;;
268;2EG0900101;56;56;5;37;0I0I0H;219;39;0;0J12140H0Q110I0I0H63130;0J12140H0Q110I0I0H63130;OK;;;;23;23;11;11;;;;;
269;8W80000101;56;56;3;95;0I0I0H;221;99;;0P1K0P2N0I0I0H652R;0P1K0P2N0I0I0H652R;OK;;;;18;18;9;9;;;;;
270;1UB0000101;57;57;3;1;0I0H0I;221;5;;0I1I0Z010I0I0H6505;0I1I0Z010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
271;9W80000101;57;57;3;1;0I0H0I;221;5;;0Q1K0P010I0I0H6505;0Q1K0P010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
272;GQ00000101;57;57;2;47;0I0H0I;222;52;0;141E1B0I0H0I661G0;141E1B0I0H0I661G0;OK;;;;17;17;8;8;;;;;
273;IZSLJ00101;157;57;5;38;0I0H0I;219;40;0;161N1G1917120I0H0I63140;161N1G1917120I0H0I63140;OK;;;;23;23;11;11;;;;;
274;JYSLJ00101;157;57;5;38;0I0H0I;219;40;0;171M1G1917120I0H0I63140;171M1G1917120I0H0I63140;OK;;;;23;23;11;11;;;;;
275;1VB0000101;58;58;3;1;0I0I0H;221;5;;0I1J0Z010I0I0H6505;0I1J0Z010I0I0H6505;OK;;;;18;18;9;9;;;;;
276;AW10000101;58;58;3;1;0I0I0H;221;5;;0Y1K0I010I0I0H6505;0Y1K0I010I0I0H6505;OK;;;;18;18;9;9;;;;;
277;KTQSJ00101;158;58;5;39;0I0I0H;219;41;0;181H1E1G17130I0I0H63150;181H1E1G17130I0I0H63150;OK;;;;23;23;11;11;;;;;
278;1WB0000101;59;59;3;1;0I0H0I;221;5;;0I1K0Z010I0I0H6505;0I1K0Z010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
279;2000000101;3;59;1;44;0I0H0I;223;50;0;0J180I0H0I671E0;0J180I0H0I671E0;OK;;;;15;15;7;7;;;;;
280;3VA0000101;59;59;3;1;0I0H0I;221;5;;0K1J0Y010I0I0H6505;0K1J0Y010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
281;TXHPJ00101;159;59;5;40;0I0H0I;219;42;0;1H1L151D17140I0H0I63160;1H1L151D17140I0H0I63160;OK;;;;23;23;11;11;;;;;
282;1200000101;4;60;2;94;0I0I0H;222;99;0;0I0J2M0I0I0H662R0;0I0J2M0I0I0H662R0;OK;;;;17;17;8;8;;;;;
283;1WC0000101;60;60;3;1;0I0I0H;221;5;;0I1K10010I0I0H6505;0I1K10010I0I0H6505;OK;;;;18;18;9;9;;;;;
284;2010000101;4;60;3;43;0I0I0H;221;47;;0J0H0I170I0I0H651B;0J0H0I170I0I0H651B;OK;;;;18;18;9;9;;;;;
285;3WA0000101;60;60;3;1;0I0I0H;221;5;;0K1K0Y010I0I0H6505;0K1K0Y010I0I0H6505;OK;;;;18;18;9;9;;;;;
286;5UA0000101;60;60;3;1;0I0I0H;221;5;;0M1I0Y010I0I0H6505;0M1I0Y010I0I0H6505;OK;;;;18;18;9;9;;;;;
287;UXKMJ00101;160;60;5;41;0I0I0H;219;43;0;1I1L181A17150I0I0H63170;1I1L181A17150I0I0H63170;OK;;;;23;23;11;11;;;;;
288;1300000101;5;61;2;95;0I0H0I;222;100;0;0I0K010I0H0I66060;0I0K2N0I0H0I662S0;FAIL;5;0;2;17;17;8;8;;;;;
289;1XC0000101;61;61;3;1;0I0H0I;221;5;;0I1L10010I0I0H6505;0I1L10010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
290;1YB0000101;61;61;3;1;0I0H0I;221;5;;0I1M0Z010I0I0H6505;0I1M0Z010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
291;1ZA0000101;61;61;3;1;0I0H0I;221;5;;0I1N0Y010I0I0H6505;0I1N0Y010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
292;2200000101;5;61;2;95;0I0H0I;222;100;0;0J0J010I0H0I66060;0J0J2N0I0H0I662S0;FAIL;5;0;2;17;17;8;8;;;;;
293;2XB0000101;61;61;3;1;0I0H0I;221;5;;0J1L0Z010I0I0H6505;0J1L0Z010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
294;2YA0000101;61;61;3;1;0I0H0I;221;5;;0J1M0Y010I0I0H6505;0J1M0Y010I0H0I6505;FAIL;12;I;H;18;18;9;9;;;;;
295;NTQSJ00101;161;61;5;42;0I0H0I;219;44;0;1B1H1E1G17160I0H0I63180;1B1H1E1G17160I0H0I63180;OK;;;;23;23;11;11;;;;;
296;1400000101;6;62;2;96;0I0I0H;222;1;0;0I0L010I0H0I66060;0I0L2O0I0I0H66010;FAIL;5;0;2;17;17;8;8;;;;;
297;1ZB0000101;62;62;3;1;0I0I0H;221;5;;0I1N0Z010I0I0H6505;0I1N0Z010I0I0H6505;OK;;;;18;18;9;9;;;;;
298;3200000101;6;62;2;96;0I0I0H;222;1;0;0K0J010I0H0I66060;0K0J2O0I0I0H66010;FAIL;5;0;2;17;17;8;8;;;;;
299;1050000101;7;63;3;46;0I0H0I;221;50;;0I0H0M1A0I0H0I651E;0I0H0M1A0I0H0I651E;OK;;;;18;18;9;9;;;;;
300;1E1AF00101;63;63;5;44;0I0H0I;219;46;0;0I120I0Y13180I0H0I631A0;0I120I0Y13180I0H0I631A0;OK;;;;23;23;11;11;;;;;
301;2400000101;7;63;2;97;0I0H0I;222;2;0;0J0L010I0H0I66060;0J0L2P0I0H0I66020;FAIL;5;0;2;17;17;8;8;;;;;
302;IWTTJ00101;163;63;5;44;0I0H0I;219;46;0;161K1H1H17180I0H0I631A0;161K1H1H17180I0H0I631A0;OK;;;;23;23;11;11;;;;;
303;XXKMJ00101;163;63;5;44;0I0H0I;219;46;0;1L1L181A17180I0H0I631A0;1L1L181A17180I0H0I631A0;OK;;;;23;23;11;11;;;;;
304;1600000101;8;64;2;98;0I0I0H;222;3;0;0I0N010I0H0I66060;0I0N2Q0I0I0H66030;FAIL;5;0;2;17;17;8;8;;;;;
305;2050000101;8;64;3;47;0I0I0H;221;51;;0J0H0M1B0I0I0H651F;0J0H0M1B0I0I0H651F;OK;;;;18;18;9;9;;;;;
306;3400000101;8;64;2;98;0I0I0H;222;3;0;0K0L010I0H0I66060;0K0L2Q0I0I0H66030;FAIL;5;0;2;17;17;8;8;;;;;
307;4400000101;9;65;2;99;0I0H0I;222;4;0;0L0L010I0H0I66060;0L0L2R0I0H0I66040;FAIL;5;0;2;17;17;8;8;;;;;
308;1260000101;10;66;3;49;0I0I0H;221;53;;0I0J0N1D0I0I0H651H;0I0J0N1D0I0I0H651H;OK;;;;18;18;9;9;;;;;
309;1530000101;10;66;3;49;0I0I0H;221;53;;0I0M0K1D0I0I0H651H;0I0M0K1D0I0I0H651H;OK;;;;18;18;9;9;;;;;
310;2700000101;10;66;2;100;0I0I0H;222;5;0;0J0O010I0H0I66060;0J0O2S0I0I0H66050;FAIL;5;0;2;17;17;8;8;;;;;
311;3510000101;10;66;3;49;0I0I0H;221;53;;0K0M0I1D0I0I0H651H;0K0M0I1D0I0I0H651H;OK;;;;18;18;9;9;;;;;
312;7200000101;10;66;2;100;0I0I0H;222;5;0;0O0J010I0H0I66060;0O0J2S0I0I0H66050;FAIL;5;0;2;17;17;8;8;;;;;
313;8010000101;10;66;3;49;0I0I0H;221;53;;0P0H0I1D0I0I0H651H;0P0H0I1D0I0I0H651H;OK;;;;18;18;9;9;;;;;
314;ZMQSJ00101;166;66;5;47;0I0I0H;219;49;0;1N1A1E1G171B0I0I0H631D0;1N1A1E1G171B0I0I0H631D0;OK;;;;23;23;11;11;;;;;
315;1090000101;11;67;3;50;0I0H0I;221;54;;0I0H0Q1E0I0H0I651I;0I0H0Q1E0I0H0I651I;OK;;;;18;18;9;9;;;;;
316;1270000101;11;67;3;50;0I0H0I;221;54;;0I0J0O1E0I0H0I651I;0I0J0O1E0I0H0I651I;OK;;;;18;18;9;9;;;;;
317;1900000101;11;67;2;1;0I0H0I;222;6;0;0I0Q010I0H0I66060;0I0Q010I0H0I66060;OK;;;;17;17;8;8;;;;;
318;2170000101;11;67;3;50;0I0H0I;221;54;;0J0I0O1E0I0H0I651I;0J0I0O1E0I0H0I651I;OK;;;;18;18;9;9;;;;;
319;2350000101;11;67;3;50;0I0H0I;221;54;;0J0K0M1E0I0H0I651I;0J0K0M1E0I0H0I651I;OK;;;;18;18;9;9;;;;;
320;8200000101;11;67;2;1;0I0H0I;222;6;0;0P0J010I0H0I66060;0P0J010I0H0I66060;OK;;;;17;17;8;8;;;;;
321;9100000101;11;67;2;1;0I0H0I;222;6;0;0Q0I010I0H0I66060;0Q0I010I0H0I66060;OK;;;;17;17;8;8;;;;;
322;1370000101;12;68;3;51;0I0I0H;221;55;;0I0K0O1F0I0I0H651J;0I0K0O1F0I0I0H651J;OK;;;;18;18;9;9;;;;;
323;3800000101;12;68;2;2;0I0I0H;222;7;0;0K0P020I0I0H66070;0K0P020I0I0H66070;OK;;;;17;17;8;8;;;;;
324;7400000101;12;68;2;2;0I0I0H;222;7;0;0O0L020I0I0H66070;0O0L020I0I0H66070;OK;;;;17;17;8;8;;;;;
325;1470000101;13;69;3;52;0I0H0I;221;56;;0I0L0O1G0I0H0I651K;0I0L0O1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
326;1560000101;13;69;3;52;0I0H0I;221;56;;0I0M0N1G0I0H0I651K;0I0M0N1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
327;1830000101;13;69;3;52;0I0H0I;221;56;;0I0P0K1G0I0H0I651K;0I0P0K1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
328;1920000101;13;69;3;52;0I0H0I;221;56;;0I0Q0J1G0I0H0I651K;0I0Q0J1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
329;2EF0G00101;69;69;5;50;0I0H0I;219;52;0;0J12130H141E0I0H0I631G0;0J12130H141E0I0H0I631G0;OK;;;;23;23;11;11;;;;;
330;3900000101;13;69;2;3;0I0H0I;222;8;0;0K0Q030I0H0I66080;0K0Q030I0H0I66080;OK;;;;17;17;8;8;;;;;
331;4170000101;13;69;3;52;0I0H0I;221;56;;0L0I0O1G0I0H0I651K;0L0I0O1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
332;4350000101;13;69;3;52;0I0H0I;221;56;;0L0K0M1G0I0H0I651K;0L0K0M1G0I0H0I651K;OK;;;;18;18;9;9;;;;;
333;4E7P400101;69;69;5;50;0I0H0I;219;52;0;0L120O1D0L1E0I0H0I631G0;0L120O1D0L1E0I0H0I631G0;OK;;;;23;23;11;11;;;;;
334;1390000101;14;70;3;53;0I0I0H;221;57;;0I0K0Q1H0I0I0H651L;0I0K0Q1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
335;1480000101;14;70;3;53;0I0I0H;221;57;;0I0L0P1H0I0I0H651L;0I0L0P1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
336;1570000101;14;70;3;53;0I0I0H;221;57;;0I0M0O1H0I0I0H651L;0I0M0O1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
337;1660000101;14;70;3;53;0I0I0H;221;57;;0I0N0N1H0I0I0H651L;0I0N0N1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
338;1750000101;14;70;3;53;0I0I0H;221;57;;0I0O0M1H0I0I0H651L;0I0O0M1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
339;1EB5H00101;70;70;5;51;0I0I0H;219;53;0;0I120Z0M151F0I0I0H631H0;0I120Z0M151F0I0I0H631H0;OK;;;;23;23;11;11;;;;;
340;2470000101;14;70;3;53;0I0I0H;221;57;;0J0L0O1H0I0I0H651L;0J0L0O1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
341;2560000101;14;70;3;53;0I0I0H;221;57;;0J0M0N1H0I0I0H651L;0J0M0N1H0I0I0H651L;OK;;;;18;18;9;9;;;;;
